channel,chFollowers,nShortVideos,nLongVideos,nTotalVideos
AfD BT,539000,665,5562,6227
AfD DE,340000,654,1245,1899
CDU DE,30800,565,322,887
CDU/CSU BT,8050,445,281,726
CSU BT,4930,16,394,410
CSU DE,6890,115,69,184
FDP BT,24500,298,346,644
FDP DE,29600,433,325,758
Greens BT,3000,140,93,233
Greens DE,36500,237,433,670
Left BT new,3280,182,157,339
Left BT old,69500,716,3436,4152
Left DE,146000,431,372,803
SPD BT,4450,254,46,300
SPD DE,35600,680,435,1115
